"","species","date","hour.1.total","hour.2.total","hour.3.total","hour.4.total","hour.5.total","day.total","total.obs.mins","time.of.obs","start.time.am","start.time.pm","principle.observer","wind.dir.speed","wind.dir","wind.speed","visibility"
"2419","MALL",2021-10-09,"","","","","",0,90,"6:30 - 8:00","","","RZK",NA,"","","unlimited"
"2420","MALL/ABDU",2021-10-09,"","","","","",0,90,"6:30 - 8:00","","","RZK",NA,"","","unlimited"
"2421","NOGA",2021-10-09,"","","","","",32,90,"6:30 - 8:00","","","RZK",NA,"","","unlimited"
"2422","NOPI",2021-10-09,"","","","","",0,90,"6:30 - 8:00","","","RZK",NA,"","","unlimited"
"2423","PAJA",2021-10-09,"","","","","",0,90,"6:30 - 8:00","","","RZK",NA,"","","unlimited"
"2424","POJA",2021-10-09,"","","","","",0,90,"6:30 - 8:00","","","RZK",NA,"","","unlimited"
"2425","RAZO",2021-10-09,"","","","","",0,90,"6:30 - 8:00","","","RZK",NA,"","","unlimited"
"2426","RBGU",2021-10-09,"","","","","",0,90,"6:30 - 8:00","","","RZK",NA,"","","unlimited"
"2427","RBME",2021-10-09,"","","","","",7,90,"6:30 - 8:00","","","RZK",NA,"","","unlimited"
"2428","RNGR",2021-10-09,"","","","","",0,90,"6:30 - 8:00","","","RZK",NA,"","","unlimited"
"2429","RNPH",2021-10-09,"","","","","",0,90,"6:30 - 8:00","","","RZK",NA,"","","unlimited"
"2430","RTLO",2021-10-09,"","","","","",1,90,"6:30 - 8:00","","","RZK",NA,"","","unlimited"
"2431","SC sp.",2021-10-09,"","","","","",4,90,"6:30 - 8:00","","","RZK",NA,"","","unlimited"
"2432","Scaup sp.",2021-10-09,"","","","","",0,90,"6:30 - 8:00","","","RZK",NA,"","","unlimited"
"2433","Shearwater sp.",2021-10-09,"","","","","",0,90,"6:30 - 8:00","","","RZK",NA,"","","unlimited"
"2434","SUSC",2021-10-09,"","","","","",0,90,"6:30 - 8:00","","","RZK",NA,"","","unlimited"
"2435","Tern sp.",2021-10-09,"","","","","",0,90,"6:30 - 8:00","","","RZK",NA,"","","unlimited"
"2436","UNBI",2021-10-09,"","","","","",0,90,"6:30 - 8:00","","","RZK",NA,"","","unlimited"
"2437","WODU",2021-10-09,"","","","","",0,90,"6:30 - 8:00","","","RZK",NA,"","","unlimited"
"2438","WWSC",2021-10-09,"","","","","",0,90,"6:30 - 8:00","","","RZK",NA,"","","unlimited"
"2439","ABDU",2021-10-10,"","","","","",0,90,"6:30 - 8:00","","","RZK","SE 8-9","","","unlimited"
"2440","AMWI",2021-10-10,"","","","","",0,90,"6:30 - 8:00","","","RZK","SE 8-9","","","unlimited"
"2441","BLGU",2021-10-10,"","","","","",0,90,"6:30 - 8:00","","","RZK","SE 8-9","","","unlimited"
"2442","BLKI",2021-10-10,"","","","","",0,90,"6:30 - 8:00","","","RZK","SE 8-9","","","unlimited"
"2443","BLSC",2021-10-10,"","","","","",2,90,"6:30 - 8:00","","","RZK","SE 8-9","","","unlimited"
"2444","BLSK",2021-10-10,"","","","","",0,90,"6:30 - 8:00","","","RZK","SE 8-9","","","unlimited"
"2445","BOGU",2021-10-10,"","","","","",0,90,"6:30 - 8:00","","","RZK","SE 8-9","","","unlimited"
"2446","BRAN",2021-10-10,"","","","","",0,90,"6:30 - 8:00","","","RZK","SE 8-9","","","unlimited"
