Date,,09-01-20,09-02-20,09-04-20,09-05-20,09-06-20,09-10-20,09-11-20,09-12-20,09-11-20,09-13-20,09-14-20,09-15-20,09-16-20,09-17-20,09-18-20,09-19-20,09-20-20,09-21-20,09-22-20,09-23-20,09-24-20,09-25-20,09-26-20,09-27-20,09-28-20,09-30-20,10-01-20,10-02-20,10-03-20,10-04-20,10-05-20,10-06-20,10-07-20,10-08-20,10-09-20,10-10-20,10-11-20,10-12-20,10-13-20,10-14-20,10-15-20,10-16-20,10-17-20,10-18-20,10-19-20,10-20-20,10-21-20,10-22-20,10-23-20,10-24-20,10-25-20,10-26-20,10-27-20,10-28-20,10-29-20,10-30-20,10-31-20,11-01-20,11-02-20,11-03-20,11-04-20,11-05-20,11-06-20,11-07-20,11-08-20,11-09-20,11-10-20,11-11-20,11-12-20,11-13-20,11-14-20,11-15-20,11-16-20,11-17-20,11-18-20,11-19-20,11-20-20,11-21-20
HOGR,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,0,,,,,,,,,,,,,,,,
GRCO,74,,,,,,,,9,,6,6,1,,,4,7,1,,3,12,,1,,,,,4,,,1,2,1,,,,,1,,,,1,,,2,,,,7,,,,,,,4,,,,,,1,0,,,,,,,,,,,,,,,,
DCCO,21036,86,49,,,,,637,352,,53,6,64,13,4,111,126,117,141,11,12,,26,,,,,1,,347,72,124,112,7,1,225,777,621,300,1101,77,105,18,65,1511,1007,646,1793,5033,404,56,386,408,1537,666,1332,47,94,,5,18,75,0,133,12,33,,46,,6,1,4,7,3,6,,6,,
CO sp.,2347,2,,,,,,,,,,,86,2,,32,45,41,34,47,24,23,35,,,,,9,38,227,375,17,1,61,,52,7,108,53,395,,,,,,140,,,,,,,,,,,110,51,,,,53,1,,77,17,,33,,,45,101,,,2,3,,,
NOGA,3739,2,2,,,,,,7,,11,354,,28,221,54,8,10,,6,,,,,,,,213,5,3,1,4,5,13,,57,23,93,23,16,118,0,97,22,50,2,120,94,34,162,111,36,45,81,41,21,39,103,59,133,90,70,38,144,158,86,,57,64,52,21,49,33,59,109,29,,153,
GBHE,10,,,,,,,,,,,,,,,,,,,1,1,,3,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREG,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CANG,83,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,7,,3,,,,,,,,,,,,,,3,6,,,,,,,29,,,,,,,,,,,,1,,,16,14,,,
BRAN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WODU,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MALL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABDU,5,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,,
MALL/ABDU,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
GWTE,52,,,,,,,,,,,,1,,,,,1,,,,1,1,,,,,,,,17,6,,,,,,,3,,1,,,,,,,5,1,11,,1,2,,,,,,,,,,,,,,,,,,1,,,,,,,,
COEI,13803,58,38,,,,,24,12,,35,5,48,6,8,28,23,45,59,82,17,9,70,,,,,50,16,36,218,26,484,333,9,325,320,198,456,311,48,35,153,58,144,238,142,551,226,2548,92,176,481,212,471,259,289,191,213,373,121,562,67,79,124,274,,475,100,84,240,84,161,275,233,196,26,453,
HADU,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTDU,657,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,9,5,4,8,15,8,21,11,,53,1,11,6,18,,5,3,58,41,37,86,78,55,48,21,39,
SUSC,1627,2,,,,,,2,22,,5,5,10,9,5,10,5,18,15,10,1,20,53,,,,,5,9,6,50,28,84,,,83,699,44,10,8,13,6,6,1,,,27,175,10,27,16,5,,13,22,26,,4,3,2,1,1,9,2,1,1,,9,1,1,2,6,,3,1,,,15,
BLSC,299,,,,,,,,,,,,,,,,,2,,7,,,9,,,,,,,,,15,53,,,46,14,10,,11,3,0,,,,,,2,3,2,,,,7,3,16,3,1,11,2,3,,5,,1,2,,3,,,2,2,1,1,15,9,21,14,
WWSC,608,1,,,,,,6,2,,2,,18,2,,6,1,3,,3,,10,11,3,,,,5,3,3,3,,15,2,,32,159,4,5,1,3,0,,1,8,7,1,24,7,36,8,10,9,9,4,0,5,2,13,7,,7,4,7,,3,,4,1,,9,8,5,85,,15,1,5,
SC sp.,2781,23,17,,,,,,16,,,2,54,,,33,2,24,22,20,4,14,57,,,,,5,,43,4,8,43,57,12,187,498,13,29,8,11,26,4,2,15,71,17,545,109,105,53,35,44,22,50,4,33,64,61,52,2,33,2,19,7,22,,23,6,13,30,25,16,33,12,20,,,
COGO,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUFF,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,
GRSC,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
RBME,266,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,8,5,3,1,3,2,,4,,1,1,65,39,15,,1,7,,4,2,,7,,7,,8,1,1,,,,1,1,2,4,14,1,37,5,,7,6,
NOPI,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duck sp.,2932,9,5,,,,,1,1,,,,38,,,15,,3,,,,1,23,,,,,,3,,31,5,73,,,296,260,72,103,,6,0,2,,106,61,10,951,22,72,23,106,145,47,60,12,74,16,5,24,23,72,2,,6,19,,10,,2,14,8,26,27,10,13,17,2,
PAJA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POJA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Jaeger sp.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,
BOGU,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAGU,77,4,1,,,,,4,,,,,11,6,6,15,5,1,,,2,,,,,,,11,,,,2,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
RBGU,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,9,,,,,,,4,,,,,,,7,,
BLKI,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,,,,,,2,,,,,,,6,2,
CATE,2,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COTE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tern sp.,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAZO,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,4,2,,,5,1,,,,1,3,2,,,13,
Large alcid sp.,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,3,,,,2,6,4,6,,10,2,14,,16,1,3,1,6,4,8,11,2,,12,
