"","cond((Int))","disp((Int))","cond(scale(doy))","cond(I(scale(doy)^2))","cond(scale(obs.hours))","cond(scale(pressure))","cond(scale(tsm))","cond(scale(wind.dir.cos))","cond(scale(wind.dir.sin))","cond(scale(wind.speed))","cond(scale(year))","df","logLik","AICc","delta","weight"
"1",0.532203387586842,"+",2.59424559359008,-0.699835761245373,0.716713476312935,NA,NA,NA,NA,-0.167171899597498,0.411000471871809,8,-1068.23868060305,2152.72019425837,0,0.0751414526963936
"2",0.520237438230931,"+",2.58825582890722,-0.695571629249082,0.722390466318266,0.101265748318846,NA,NA,NA,-0.134329302591782,0.405275475005049,9,-1067.31121979313,2152.92649364031,0.20629938194088,0.0677769849419622
"3",0.521134794631495,"+",2.59889713388554,-0.711988484940438,0.659921987814392,NA,-0.166771671481472,NA,NA,-0.174713906970401,0.357458336541156,9,-1067.3140506279,2152.93215530986,0.211961051491926,0.0675853908096216
"4",0.509624867939447,"+",2.59393406727974,-0.70859340193159,0.666549984440752,0.101599360178724,-0.168541308531753,NA,NA,-0.141970218432059,0.352553257282838,10,-1066.37328943429,2153.11882929159,0.398635033218852,0.0615626192844663
"5",0.500612666371357,"+",2.52197398039774,-0.678441885523346,0.726813787666531,0.133464400677235,NA,NA,NA,NA,0.406132668740967,8,-1068.51546031372,2153.27375367971,0.553559421341561,0.0569738654882342
"6",0.530530364653995,"+",2.59282403761602,-0.694870386843023,0.711216666498338,NA,NA,-0.0840939980652034,NA,-0.172578556686199,0.415611443441262,9,-1067.58186607159,2153.46778619723,0.747591938859841,0.0517061331320772
"7",0.489489831183415,"+",2.52392502972248,-0.689578630285195,0.674884902563206,0.134840249550293,-0.157522812294048,NA,NA,NA,0.357532479000747,9,-1067.70232443069,2153.70870291543,0.988508657062084,0.0458382110013849
"8",0.519925970639933,"+",2.59785830874007,-0.707132461338826,0.656402386004517,NA,-0.162874511656027,-0.0821195815551956,NA,-0.179825731548808,0.363743137263978,10,-1066.68854907515,2153.74934857332,1.02915431494694,0.0449160510682541
"9",0.518889410690428,"+",2.5873722226794,-0.690808596960368,0.717413656204465,0.0982128721408108,NA,-0.0807231766317194,NA,-0.14075057139594,0.410340880462247,10,-1066.70429102981,2153.78083248264,1.06063822426449,0.0442145208444471
"10",0.508768375958967,"+",2.59338935917429,-0.70391631257663,0.663520464265257,0.0984790536571466,-0.164484016074188,-0.0785534929431773,NA,-0.148101139855588,0.359228791074055,11,-1065.79958897244,2154.046635572,1.32644131362667,0.0387120807862679
"11",0.498570803440489,"+",2.51777562521286,-0.67339932899675,0.72199363921036,0.131846459706227,NA,-0.0731601100318178,NA,NA,0.410413686170998,9,-1068.0231790607,2154.35041217545,1.63021791708252,0.0332569382535878
"12",0.510476766232301,"+",2.50885276457867,-0.67928419988127,0.72029476634301,NA,NA,NA,NA,NA,0.414277396359285,7,-1070.24024183734,2154.66903586323,1.9488416048589,0.0283592022178246
