"","cond((Int))","disp((Int))","cond(scale(doy))","cond(I(scale(doy)^2))","cond(scale(obs.hours))","cond(scale(pressure))","cond(scale(tsm))","cond(scale(wind.dir.cos))","cond(scale(wind.dir.sin))","cond(scale(wind.speed))","cond(scale(year))","df","logLik","AICc","delta","weight"
"1",2.46269412501646,"+",0.811259178777074,-0.213080301009395,0.654693303182536,0.122864228738379,-0.0792271695737169,-0.0574005952404796,-0.0304917047655029,0.089694994230698,NA,14,-25471.4706060257,50970.99113479,0,NA
"2",2.07525639660677,"+",0.811294467720195,-0.212425170798089,0.659672943393466,0.124012019938658,-0.074642586010415,-0.0577713450372716,-0.0299305947800029,0.0889931636183015,0.114744264728685,15,-25470.5172623824,50971.0915861058,0.100451315855025,NA
"3",2.47633674028541,"+",0.813740982031244,-0.213934339547314,0.65616091981256,0.123198963581283,-0.0781714396904809,-0.0573410516118269,NA,0.0893189544360805,NA,13,-25472.5861986554,50971.2156585422,0.224523752185632,NA
"4",2.07916517940477,"+",0.813743580329243,-0.213241493526288,0.661185907857769,0.1243727045816,-0.0735484620903958,-0.0577195208559527,NA,0.0885875611915558,0.117218162419684,14,-25471.5917831119,50971.2334889624,0.242354172434716,NA
