"","species","date","hour.1.total","hour.2.total","hour.3.total","hour.4.total","hour.5.total","day.total","total.obs.mins","time.of.obs","start.time.am","start.time.pm","principle.observer","wind.dir.speed","wind.dir","wind.speed","visibility"
"38","PAJA",2012-10-16,"","","","","",0,225,"6:15-9:15am, 3:10 - 3:55pm ","","","STB/RZK","S 5-10, SSE 20","","","2mi - 5mi "
"39","POJA",2012-10-16,"","","","","",0,225,"6:15-9:15am, 3:10 - 3:55pm ","","","STB/RZK","S 5-10, SSE 20","","","2mi - 5mi "
"40","RAZO",2012-10-16,"","","","","",0,225,"6:15-9:15am, 3:10 - 3:55pm ","","","STB/RZK","S 5-10, SSE 20","","","2mi - 5mi "
"41","RBGU",2012-10-16,"","","","","",0,225,"6:15-9:15am, 3:10 - 3:55pm ","","","STB/RZK","S 5-10, SSE 20","","","2mi - 5mi "
"42","RBME",2012-10-16,"","","","","",0,225,"6:15-9:15am, 3:10 - 3:55pm ","","","STB/RZK","S 5-10, SSE 20","","","2mi - 5mi "
"43","RNGR",2012-10-16,"","","","","",0,225,"6:15-9:15am, 3:10 - 3:55pm ","","","STB/RZK","S 5-10, SSE 20","","","2mi - 5mi "
"44","RNPH",2012-10-16,"","","","","",0,225,"6:15-9:15am, 3:10 - 3:55pm ","","","STB/RZK","S 5-10, SSE 20","","","2mi - 5mi "
"45","RTLO",2012-10-16,"","","","","",0,225,"6:15-9:15am, 3:10 - 3:55pm ","","","STB/RZK","S 5-10, SSE 20","","","2mi - 5mi "
"46","SC sp.",2012-10-16,"","","","","",55,225,"6:15-9:15am, 3:10 - 3:55pm ","","","STB/RZK","S 5-10, SSE 20","","","2mi - 5mi "
"47","SUSC",2012-10-16,"","","","","",29,225,"6:15-9:15am, 3:10 - 3:55pm ","","","STB/RZK","S 5-10, SSE 20","","","2mi - 5mi "
"48","Scaup sp.",2012-10-16,"","","","","",0,225,"6:15-9:15am, 3:10 - 3:55pm ","","","STB/RZK","S 5-10, SSE 20","","","2mi - 5mi "
"49","Shearwater sp.",2012-10-16,"","","","","",0,225,"6:15-9:15am, 3:10 - 3:55pm ","","","STB/RZK","S 5-10, SSE 20","","","2mi - 5mi "
"50","Tern sp.",2012-10-16,"","","","","",0,225,"6:15-9:15am, 3:10 - 3:55pm ","","","STB/RZK","S 5-10, SSE 20","","","2mi - 5mi "
"51","UNBI",2012-10-16,"","","","","",0,225,"6:15-9:15am, 3:10 - 3:55pm ","","","STB/RZK","S 5-10, SSE 20","","","2mi - 5mi "
"52","WODU",2012-10-16,"","","","","",0,225,"6:15-9:15am, 3:10 - 3:55pm ","","","STB/RZK","S 5-10, SSE 20","","","2mi - 5mi "
"53","WWSC",2012-10-16,"","","","","",15,225,"6:15-9:15am, 3:10 - 3:55pm ","","","STB/RZK","S 5-10, SSE 20","","","2mi - 5mi "
"54","ABDU",2021-08-24,"","","","","",0,183,"7:53-8:55  13:38-15:39","","","ACK","SW 6 mph","","","2 to 10 mi"
"55","AMWI",2021-08-24,"","","","","",0,183,"7:53-8:55  13:38-15:39","","","ACK","SW 6 mph","","","2 to 10 mi"
"56","BLGU",2021-08-24,"","","","","",0,183,"7:53-8:55  13:38-15:39","","","ACK","SW 6 mph","","","2 to 10 mi"
"57","BLKI",2021-08-24,"","","","","",0,183,"7:53-8:55  13:38-15:39","","","ACK","SW 6 mph","","","2 to 10 mi"
"58","BLSC",2021-08-24,"","","","","",0,183,"7:53-8:55  13:38-15:39","","","ACK","SW 6 mph","","","2 to 10 mi"
"59","BLSK",2021-08-24,"","","","","",0,183,"7:53-8:55  13:38-15:39","","","ACK","SW 6 mph","","","2 to 10 mi"
"60","BOGU",2021-08-24,"","","","","",0,183,"7:53-8:55  13:38-15:39","","","ACK","SW 6 mph","","","2 to 10 mi"
"61","BRAN",2021-08-24,"","","","","",0,183,"7:53-8:55  13:38-15:39","","","ACK","SW 6 mph","","","2 to 10 mi"
"62","BUFF",2021-08-24,"","","","","",0,183,"7:53-8:55  13:38-15:39","","","ACK","SW 6 mph","","","2 to 10 mi"
"63","CANG",2021-08-24,"","","","","",0,183,"7:53-8:55  13:38-15:39","","","ACK","SW 6 mph","","","2 to 10 mi"
"64","CATE",2021-08-24,"","","","","",0,183,"7:53-8:55  13:38-15:39","","","ACK","SW 6 mph","","","2 to 10 mi"
"65","CO sp.",2021-08-24,"","","","","",0,183,"7:53-8:55  13:38-15:39","","","ACK","SW 6 mph","","","2 to 10 mi"
"66","COEI",2021-08-24,"","","","","",0,183,"7:53-8:55  13:38-15:39","","","ACK","SW 6 mph","","","2 to 10 mi"
"67","COGO",2021-08-24,"","","","","",0,183,"7:53-8:55  13:38-15:39","","","ACK","SW 6 mph","","","2 to 10 mi"
"68","COLO",2021-08-24,"","","","","",0,183,"7:53-8:55  13:38-15:39","","","ACK","SW 6 mph","","","2 to 10 mi"
"69","COMU",2021-08-24,"","","","","",0,183,"7:53-8:55  13:38-15:39","","","ACK","SW 6 mph","","","2 to 10 mi"
"70","COTE",2021-08-24,"","","","","",0,183,"7:53-8:55  13:38-15:39","","","ACK","SW 6 mph","","","2 to 10 mi"
"71","Calidris sp.",2021-08-24,"","","","","",0,183,"7:53-8:55  13:38-15:39","","","ACK","SW 6 mph","","","2 to 10 mi"
"72","DCCO",2021-08-24,"","","","","",2,183,"7:53-8:55  13:38-15:39","","","ACK","SW 6 mph","","","2 to 10 mi"
"73","Duck sp.",2021-08-24,"","","","","",0,183,"7:53-8:55  13:38-15:39","","","ACK","SW 6 mph","","","2 to 10 mi"
"74","GBHE",2021-08-24,"","","","","",0,183,"7:53-8:55  13:38-15:39","","","ACK","SW 6 mph","","","2 to 10 mi"
"75","GRCO",2021-08-24,"","","","","",0,183,"7:53-8:55  13:38-15:39","","","ACK","SW 6 mph","","","2 to 10 mi"
"76","GREG",2021-08-24,"","","","","",0,183,"7:53-8:55  13:38-15:39","","","ACK","SW 6 mph","","","2 to 10 mi"
"77","GRSC",2021-08-24,"","","","","",0,183,"7:53-8:55  13:38-15:39","","","ACK","SW 6 mph","","","2 to 10 mi"
"78","GWTE",2021-08-24,"","","","","",0,183,"7:53-8:55  13:38-15:39","","","ACK","SW 6 mph","","","2 to 10 mi"
"79","Great Shearwater",2021-08-24,"","","","","",0,183,"7:53-8:55  13:38-15:39","","","ACK","SW 6 mph","","","2 to 10 mi"
