"species","date","year","time.of.obs","total.obs.mins","obs.hours","day.total","count.p.hour","wind.dir.speed","visibility","principle.observer"
"YBCH",2014-08-21,"2014","6:30-8:30",120,2,0,0,"Var 1-3",NA,"KO"
"YRWA",2014-08-21,"2014","6:30-8:30",120,2,0,0,"Var 1-3",NA,"KO"
"ABDU",2014-08-25,"2014","6:30-8:30",120,2,0,0,"Calm 1-3",NA,"KO"
"AMCR",2014-08-25,"2014","6:30-8:30",120,2,0,0,"Calm 1-3",NA,"KO"
"ATSP",2014-08-25,"2014","6:30-8:30",120,2,0,0,"Calm 1-3",NA,"KO"
"BAEA",2014-08-25,"2014","6:30-8:30",120,2,0,0,"Calm 1-3",NA,"KO"
"BAOR",2014-08-25,"2014","6:30-8:30",120,2,0,0,"Calm 1-3",NA,"KO"
"BLGU",2014-08-25,"2014","6:30-8:30",120,2,0,0,"Calm 1-3",NA,"KO"
"BLKI",2014-08-25,"2014","6:30-8:30",120,2,0,0,"Calm 1-3",NA,"KO"
"BLSC",2014-08-25,"2014","6:30-8:30",120,2,0,0,"Calm 1-3",NA,"KO"
"BOGU",2014-08-25,"2014","6:30-8:30",120,2,0,0,"Calm 1-3",NA,"KO"
"BOWA",2014-08-25,"2014","6:30-8:30",120,2,0,0,"Calm 1-3",NA,"KO"
"BUFF",2014-08-25,"2014","6:30-8:30",120,2,0,0,"Calm 1-3",NA,"KO"
"CATE",2014-08-25,"2014","6:30-8:30",120,2,0,0,"Calm 1-3",NA,"KO"
"COEI",2014-08-25,"2014","6:30-8:30",120,2,0,0,"Calm 1-3",NA,"KO"
"COGO",2014-08-25,"2014","6:30-8:30",120,2,0,0,"Calm 1-3",NA,"KO"
"COGR",2014-08-25,"2014","6:30-8:30",120,2,0,0,"Calm 1-3",NA,"KO"
"COLO",2014-08-25,"2014","6:30-8:30",120,2,0,0,"Calm 1-3",NA,"KO"
"Calidris sp.",2014-08-25,"2014","6:30-8:30",120,2,3,1.5,"Calm 1-3",NA,"KO"
"DCCO",2014-08-25,"2014","6:30-8:30",120,2,42,21,"Calm 1-3",NA,"KO"
"GBHE",2014-08-25,"2014","6:30-8:30",120,2,0,0,"Calm 1-3",NA,"KO"
"GRCO",2014-08-25,"2014","6:30-8:30",120,2,0,0,"Calm 1-3",NA,"KO"
"HADU",2014-08-25,"2014","6:30-8:30",120,2,0,0,"Calm 1-3",NA,"KO"
"LAGU",2014-08-25,"2014","6:30-8:30",120,2,0,0,"Calm 1-3",NA,"KO"
"LESC",2014-08-25,"2014","6:30-8:30",120,2,0,0,"Calm 1-3",NA,"KO"
"LTDU",2014-08-25,"2014","6:30-8:30",120,2,0,0,"Calm 1-3",NA,"KO"
"MERL",2014-08-25,"2014","6:30-8:30",120,2,0,0,"Calm 1-3",NA,"KO"
"NOGA",2014-08-25,"2014","6:30-8:30",120,2,5,2.5,"Calm 1-3",NA,"KO"
"NOPI",2014-08-25,"2014","6:30-8:30",120,2,0,0,"Calm 1-3",NA,"KO"
"PAJA",2014-08-25,"2014","6:30-8:30",120,2,0,0,"Calm 1-3",NA,"KO"
"PEFA",2014-08-25,"2014","6:30-8:30",120,2,1,0.5,"Calm 1-3",NA,"KO"
"PISI",2014-08-25,"2014","6:30-8:30",120,2,0,0,"Calm 1-3",NA,"KO"
"RBGU",2014-08-25,"2014","6:30-8:30",120,2,0,0,"Calm 1-3",NA,"KO"
"RBME",2014-08-25,"2014","6:30-8:30",120,2,0,0,"Calm 1-3",NA,"KO"
"RNGR",2014-08-25,"2014","6:30-8:30",120,2,0,0,"Calm 1-3",NA,"KO"
"RTLO",2014-08-25,"2014","6:30-8:30",120,2,0,0,"Calm 1-3",NA,"KO"
"RUTU",2014-08-25,"2014","6:30-8:30",120,2,0,0,"Calm 1-3",NA,"KO"
"SNBU",2014-08-25,"2014","6:30-8:30",120,2,0,0,"Calm 1-3",NA,"KO"
"SSHA",2014-08-25,"2014","6:30-8:30",120,2,0,0,"Calm 1-3",NA,"KO"
"SUSC",2014-08-25,"2014","6:30-8:30",120,2,0,0,"Calm 1-3",NA,"KO"
"SWSP",2014-08-25,"2014","6:30-8:30",120,2,0,0,"Calm 1-3",NA,"KO"
