"species","date","day.total","total.obs.mins","time.of.obs","principle.observer","wind.dir.speed","visibility"
"ABDU",2015-09-10,0,140,"6:10-8:30 AM","SB",NA,NA
"BAEA",2015-09-10,0,140,"6:10-8:30 AM","SB",NA,NA
"BLKI",2015-09-10,0,140,"6:10-8:30 AM","SB",NA,NA
"BLSC",2015-09-10,0,140,"6:10-8:30 AM","SB",NA,NA
"BOGU",2015-09-10,0,140,"6:10-8:30 AM","SB",NA,NA
"Bird sp.",2015-09-10,0,140,"6:10-8:30 AM","SB",NA,NA
"CANG",2015-09-10,0,140,"6:10-8:30 AM","SB",NA,NA
"CATE",2015-09-10,0,140,"6:10-8:30 AM","SB",NA,NA
"COEI",2015-09-10,25,140,"6:10-8:30 AM","SB",NA,NA
"COGO",2015-09-10,0,140,"6:10-8:30 AM","SB",NA,NA
"COLO",2015-09-10,8,140,"6:10-8:30 AM","SB",NA,NA
"Calidris sp.",2015-09-10,0,140,"6:10-8:30 AM","SB",NA,NA
"Cormorant sp.",2015-09-10,0,140,"6:10-8:30 AM","SB",NA,NA
"DCCO",2015-09-10,111,140,"6:10-8:30 AM","SB",NA,NA
"Duck sp.",2015-09-10,0,140,"6:10-8:30 AM","SB",NA,NA
"Falcon sp.",2015-09-10,0,140,"6:10-8:30 AM","SB",NA,NA
"GRCO",2015-09-10,0,140,"6:10-8:30 AM","SB",NA,NA
"GRSC",2015-09-10,0,140,"6:10-8:30 AM","SB",NA,NA
"HADU",2015-09-10,0,140,"6:10-8:30 AM","SB",NA,NA
"HOGR",2015-09-10,0,140,"6:10-8:30 AM","SB",NA,NA
"HOME",2015-09-10,0,140,"6:10-8:30 AM","SB",NA,NA
"ICGU/GLGU",2015-09-10,234,140,"6:10-8:30 AM","SB",NA,NA
"Jaeger sp.",2015-09-10,0,140,"6:10-8:30 AM","SB",NA,NA
"LAGU",2015-09-10,3,140,"6:10-8:30 AM","SB",NA,NA
"LESC",2015-09-10,0,140,"6:10-8:30 AM","SB",NA,NA
"LTDU",2015-09-10,0,140,"6:10-8:30 AM","SB",NA,NA
"Large alcid sp.",2015-09-10,0,140,"6:10-8:30 AM","SB",NA,NA
"Loon sp.",2015-09-10,0,140,"6:10-8:30 AM","SB",NA,NA
"MAKE",2015-09-10,0,140,"6:10-8:30 AM","SB",NA,NA
"MALL",2015-09-10,0,140,"6:10-8:30 AM","SB",NA,NA
"MERL",2015-09-10,0,140,"6:10-8:30 AM","SB",NA,NA
"NOGA",2015-09-10,81,140,"6:10-8:30 AM","SB",NA,NA
"NOHA",2015-09-10,0,140,"6:10-8:30 AM","SB",NA,NA
"OSPR",2015-09-10,0,140,"6:10-8:30 AM","SB",NA,NA
"PAJA",2015-09-10,0,140,"6:10-8:30 AM","SB",NA,NA
"PEFA",2015-09-10,0,140,"6:10-8:30 AM","SB",NA,NA
"RAZO",2015-09-10,0,140,"6:10-8:30 AM","SB",NA,NA
"RBGU",2015-09-10,2,140,"6:10-8:30 AM","SB",NA,NA
"RBME",2015-09-10,0,140,"6:10-8:30 AM","SB",NA,NA
"RNGR",2015-09-10,0,140,"6:10-8:30 AM","SB",NA,NA
"RTLO",2015-09-10,0,140,"6:10-8:30 AM","SB",NA,NA
"SNBU",2015-09-10,0,140,"6:10-8:30 AM","SB",NA,NA
"SSHA",2015-09-10,0,140,"6:10-8:30 AM","SB",NA,NA
