"species","date","day.total","total.obs.mins","time.of.obs","principle.observer","wind.dir.speed","visibility"
"ABDU",2016-08-27,0,300,"6:30-9:30 AM; 3:30-5:30 PM","SB",NA,NA
"BAEA",2016-08-27,0,300,"6:30-9:30 AM; 3:30-5:30 PM","SB",NA,NA
"BLGU",2016-08-27,0,300,"6:30-9:30 AM; 3:30-5:30 PM","SB",NA,NA
"BLKI",2016-08-27,0,300,"6:30-9:30 AM; 3:30-5:30 PM","SB",NA,NA
"BLSC",2016-08-27,0,300,"6:30-9:30 AM; 3:30-5:30 PM","SB",NA,NA
"BOGU",2016-08-27,0,300,"6:30-9:30 AM; 3:30-5:30 PM","SB",NA,NA
"BRAN",2016-08-27,0,300,"6:30-9:30 AM; 3:30-5:30 PM","SB",NA,NA
"Bird sp.",2016-08-27,60,300,"6:30-9:30 AM; 3:30-5:30 PM","SB",NA,NA
"CANG",2016-08-27,0,300,"6:30-9:30 AM; 3:30-5:30 PM","SB",NA,NA
"CATE",2016-08-27,0,300,"6:30-9:30 AM; 3:30-5:30 PM","SB",NA,NA
"COEI",2016-08-27,15,300,"6:30-9:30 AM; 3:30-5:30 PM","SB",NA,NA
"COLO",2016-08-27,0,300,"6:30-9:30 AM; 3:30-5:30 PM","SB",NA,NA
"CORA",2016-08-27,0,300,"6:30-9:30 AM; 3:30-5:30 PM","SB",NA,NA
"COTE",2016-08-27,0,300,"6:30-9:30 AM; 3:30-5:30 PM","SB",NA,NA
"Cormorant sp.",2016-08-27,0,300,"6:30-9:30 AM; 3:30-5:30 PM","SB",NA,NA
"DCCO",2016-08-27,194,300,"6:30-9:30 AM; 3:30-5:30 PM","SB",NA,NA
"Duck sp.",2016-08-27,0,300,"6:30-9:30 AM; 3:30-5:30 PM","SB",NA,NA
"Falcon sp.",2016-08-27,0,300,"6:30-9:30 AM; 3:30-5:30 PM","SB",NA,NA
"GRCO",2016-08-27,0,300,"6:30-9:30 AM; 3:30-5:30 PM","SB",NA,NA
"GWFG",2016-08-27,0,300,"6:30-9:30 AM; 3:30-5:30 PM","SB",NA,NA
"Grebe sp.",2016-08-27,0,300,"6:30-9:30 AM; 3:30-5:30 PM","SB",NA,NA
"LAGU",2016-08-27,0,300,"6:30-9:30 AM; 3:30-5:30 PM","SB",NA,NA
"LTDU",2016-08-27,0,300,"6:30-9:30 AM; 3:30-5:30 PM","SB",NA,NA
"Loon sp.",2016-08-27,0,300,"6:30-9:30 AM; 3:30-5:30 PM","SB",NA,NA
"MALL",2016-08-27,0,300,"6:30-9:30 AM; 3:30-5:30 PM","SB",NA,NA
"MERL",2016-08-27,0,300,"6:30-9:30 AM; 3:30-5:30 PM","SB",NA,NA
"Merganser sp.",2016-08-27,0,300,"6:30-9:30 AM; 3:30-5:30 PM","SB",NA,NA
"NOGA",2016-08-27,2,300,"6:30-9:30 AM; 3:30-5:30 PM","SB",NA,NA
"NOHA",2016-08-27,0,300,"6:30-9:30 AM; 3:30-5:30 PM","SB",NA,NA
"NOPI",2016-08-27,0,300,"6:30-9:30 AM; 3:30-5:30 PM","SB",NA,NA
"OSPR",2016-08-27,0,300,"6:30-9:30 AM; 3:30-5:30 PM","SB",NA,NA
"PAJA",2016-08-27,0,300,"6:30-9:30 AM; 3:30-5:30 PM","SB",NA,NA
"PAWA",2016-08-27,0,300,"6:30-9:30 AM; 3:30-5:30 PM","SB",NA,NA
"PEFA",2016-08-27,0,300,"6:30-9:30 AM; 3:30-5:30 PM","SB",NA,NA
"Peep sp.",2016-08-27,0,300,"6:30-9:30 AM; 3:30-5:30 PM","SB",NA,NA
"RAZO",2016-08-27,0,300,"6:30-9:30 AM; 3:30-5:30 PM","SB",NA,NA
"RBGU",2016-08-27,0,300,"6:30-9:30 AM; 3:30-5:30 PM","SB",NA,NA
"RBME",2016-08-27,0,300,"6:30-9:30 AM; 3:30-5:30 PM","SB",NA,NA
"RNGR",2016-08-27,0,300,"6:30-9:30 AM; 3:30-5:30 PM","SB",NA,NA
"RTHU",2016-08-27,0,300,"6:30-9:30 AM; 3:30-5:30 PM","SB",NA,NA
"RTLO",2016-08-27,0,300,"6:30-9:30 AM; 3:30-5:30 PM","SB",NA,NA
"SEPL",2016-08-27,0,300,"6:30-9:30 AM; 3:30-5:30 PM","SB",NA,NA
"SSHA",2016-08-27,0,300,"6:30-9:30 AM; 3:30-5:30 PM","SB",NA,NA
"SUSC",2016-08-27,0,300,"6:30-9:30 AM; 3:30-5:30 PM","SB",NA,NA
"Scoter sp.",2016-08-27,0,300,"6:30-9:30 AM; 3:30-5:30 PM","SB",NA,NA
"Shorebird sp.",2016-08-27,0,300,"6:30-9:30 AM; 3:30-5:30 PM","SB",NA,NA
"Tern sp.",2016-08-27,0,300,"6:30-9:30 AM; 3:30-5:30 PM","SB",NA,NA
"WWSC",2016-08-27,0,300,"6:30-9:30 AM; 3:30-5:30 PM","SB",NA,NA
"ABDU",2016-08-28,0,300,"6:30-9:30 AM; 3:30-5:30 PM","SB",NA,NA
"BAEA",2016-08-28,0,300,"6:30-9:30 AM; 3:30-5:30 PM","SB",NA,NA
"BLGU",2016-08-28,0,300,"6:30-9:30 AM; 3:30-5:30 PM","SB",NA,NA
"BLKI",2016-08-28,0,300,"6:30-9:30 AM; 3:30-5:30 PM","SB",NA,NA
"BLSC",2016-08-28,0,300,"6:30-9:30 AM; 3:30-5:30 PM","SB",NA,NA
"BOGU",2016-08-28,0,300,"6:30-9:30 AM; 3:30-5:30 PM","SB",NA,NA
"BRAN",2016-08-28,0,300,"6:30-9:30 AM; 3:30-5:30 PM","SB",NA,NA
"Bird sp.",2016-08-28,109,300,"6:30-9:30 AM; 3:30-5:30 PM","SB",NA,NA
"CANG",2016-08-28,28,300,"6:30-9:30 AM; 3:30-5:30 PM","SB",NA,NA
"CATE",2016-08-28,0,300,"6:30-9:30 AM; 3:30-5:30 PM","SB",NA,NA
"COEI",2016-08-28,244,300,"6:30-9:30 AM; 3:30-5:30 PM","SB",NA,NA
"COLO",2016-08-28,0,300,"6:30-9:30 AM; 3:30-5:30 PM","SB",NA,NA
"CORA",2016-08-28,0,300,"6:30-9:30 AM; 3:30-5:30 PM","SB",NA,NA
"COTE",2016-08-28,0,300,"6:30-9:30 AM; 3:30-5:30 PM","SB",NA,NA
"Cormorant sp.",2016-08-28,0,300,"6:30-9:30 AM; 3:30-5:30 PM","SB",NA,NA
"DCCO",2016-08-28,258,300,"6:30-9:30 AM; 3:30-5:30 PM","SB",NA,NA
"Duck sp.",2016-08-28,0,300,"6:30-9:30 AM; 3:30-5:30 PM","SB",NA,NA
"Falcon sp.",2016-08-28,0,300,"6:30-9:30 AM; 3:30-5:30 PM","SB",NA,NA
"GRCO",2016-08-28,0,300,"6:30-9:30 AM; 3:30-5:30 PM","SB",NA,NA
"GWFG",2016-08-28,0,300,"6:30-9:30 AM; 3:30-5:30 PM","SB",NA,NA
"Grebe sp.",2016-08-28,0,300,"6:30-9:30 AM; 3:30-5:30 PM","SB",NA,NA
"LAGU",2016-08-28,0,300,"6:30-9:30 AM; 3:30-5:30 PM","SB",NA,NA
"LTDU",2016-08-28,0,300,"6:30-9:30 AM; 3:30-5:30 PM","SB",NA,NA
"Loon sp.",2016-08-28,0,300,"6:30-9:30 AM; 3:30-5:30 PM","SB",NA,NA
"MALL",2016-08-28,0,300,"6:30-9:30 AM; 3:30-5:30 PM","SB",NA,NA
"MERL",2016-08-28,0,300,"6:30-9:30 AM; 3:30-5:30 PM","SB",NA,NA
"Merganser sp.",2016-08-28,0,300,"6:30-9:30 AM; 3:30-5:30 PM","SB",NA,NA
"NOGA",2016-08-28,0,300,"6:30-9:30 AM; 3:30-5:30 PM","SB",NA,NA
"NOHA",2016-08-28,0,300,"6:30-9:30 AM; 3:30-5:30 PM","SB",NA,NA
"NOPI",2016-08-28,0,300,"6:30-9:30 AM; 3:30-5:30 PM","SB",NA,NA
"OSPR",2016-08-28,0,300,"6:30-9:30 AM; 3:30-5:30 PM","SB",NA,NA
"PAJA",2016-08-28,0,300,"6:30-9:30 AM; 3:30-5:30 PM","SB",NA,NA
"PAWA",2016-08-28,0,300,"6:30-9:30 AM; 3:30-5:30 PM","SB",NA,NA
"PEFA",2016-08-28,0,300,"6:30-9:30 AM; 3:30-5:30 PM","SB",NA,NA
"Peep sp.",2016-08-28,0,300,"6:30-9:30 AM; 3:30-5:30 PM","SB",NA,NA
"RAZO",2016-08-28,0,300,"6:30-9:30 AM; 3:30-5:30 PM","SB",NA,NA
"RBGU",2016-08-28,0,300,"6:30-9:30 AM; 3:30-5:30 PM","SB",NA,NA
"RBME",2016-08-28,0,300,"6:30-9:30 AM; 3:30-5:30 PM","SB",NA,NA
"RNGR",2016-08-28,0,300,"6:30-9:30 AM; 3:30-5:30 PM","SB",NA,NA
