"species","date","day.total","total.obs.mins","time.of.obs","principle.observer","wind.dir.speed","visibility"
"ABDU",2020-09-01,0,160,"0620-0900","Benz/Klyver","N 1-3","10 miles"
"BLGU",2020-09-01,0,160,"0620-0900","Benz/Klyver","N 1-3","10 miles"
"BLKI",2020-09-01,0,160,"0620-0900","Benz/Klyver","N 1-3","10 miles"
"BLSC",2020-09-01,0,160,"0620-0900","Benz/Klyver","N 1-3","10 miles"
"BLSK",2020-09-01,0,160,"0620-0900","Benz/Klyver","N 1-3","10 miles"
"BOGU",2020-09-01,0,160,"0620-0900","Benz/Klyver","N 1-3","10 miles"
"BRAN",2020-09-01,0,160,"0620-0900","Benz/Klyver","N 1-3","10 miles"
"BUFF",2020-09-01,0,160,"0620-0900","Benz/Klyver","N 1-3","10 miles"
"Bird sp.",2020-09-01,0,160,"0620-0900","Benz/Klyver","N 1-3","10 miles"
"CANG",2020-09-01,0,160,"0620-0900","Benz/Klyver","N 1-3","10 miles"
"CATE",2020-09-01,0,160,"0620-0900","Benz/Klyver","N 1-3","10 miles"
"COEI",2020-09-01,58,160,"0620-0900","Benz/Klyver","N 1-3","10 miles"
"COGO",2020-09-01,0,160,"0620-0900","Benz/Klyver","N 1-3","10 miles"
"COLO",2020-09-01,7,160,"0620-0900","Benz/Klyver","N 1-3","10 miles"
"COMU",2020-09-01,0,160,"0620-0900","Benz/Klyver","N 1-3","10 miles"
"COTE",2020-09-01,0,160,"0620-0900","Benz/Klyver","N 1-3","10 miles"
"Cormorant sp.",2020-09-01,2,160,"0620-0900","Benz/Klyver","N 1-3","10 miles"
"DCCO",2020-09-01,86,160,"0620-0900","Benz/Klyver","N 1-3","10 miles"
"Duck sp.",2020-09-01,9,160,"0620-0900","Benz/Klyver","N 1-3","10 miles"
"GBHE",2020-09-01,0,160,"0620-0900","Benz/Klyver","N 1-3","10 miles"
"GRCO",2020-09-01,0,160,"0620-0900","Benz/Klyver","N 1-3","10 miles"
"GREG",2020-09-01,0,160,"0620-0900","Benz/Klyver","N 1-3","10 miles"
"GRSC",2020-09-01,0,160,"0620-0900","Benz/Klyver","N 1-3","10 miles"
"GWTE",2020-09-01,0,160,"0620-0900","Benz/Klyver","N 1-3","10 miles"
"HADU",2020-09-01,0,160,"0620-0900","Benz/Klyver","N 1-3","10 miles"
"HOGR",2020-09-01,0,160,"0620-0900","Benz/Klyver","N 1-3","10 miles"
"Jaeger sp.",2020-09-01,0,160,"0620-0900","Benz/Klyver","N 1-3","10 miles"
"LAGU",2020-09-01,4,160,"0620-0900","Benz/Klyver","N 1-3","10 miles"
"LTDU",2020-09-01,0,160,"0620-0900","Benz/Klyver","N 1-3","10 miles"
"Large alcid sp.",2020-09-01,0,160,"0620-0900","Benz/Klyver","N 1-3","10 miles"
"Loon sp.",2020-09-01,0,160,"0620-0900","Benz/Klyver","N 1-3","10 miles"
"MALL",2020-09-01,0,160,"0620-0900","Benz/Klyver","N 1-3","10 miles"
"MALL/ABDU",2020-09-01,0,160,"0620-0900","Benz/Klyver","N 1-3","10 miles"
"NOGA",2020-09-01,2,160,"0620-0900","Benz/Klyver","N 1-3","10 miles"
"NOPI",2020-09-01,0,160,"0620-0900","Benz/Klyver","N 1-3","10 miles"
"PAJA",2020-09-01,0,160,"0620-0900","Benz/Klyver","N 1-3","10 miles"
"POJA",2020-09-01,0,160,"0620-0900","Benz/Klyver","N 1-3","10 miles"
"RAZO",2020-09-01,0,160,"0620-0900","Benz/Klyver","N 1-3","10 miles"
"RBGU",2020-09-01,0,160,"0620-0900","Benz/Klyver","N 1-3","10 miles"
"RBME",2020-09-01,0,160,"0620-0900","Benz/Klyver","N 1-3","10 miles"
"RNGR",2020-09-01,0,160,"0620-0900","Benz/Klyver","N 1-3","10 miles"
"RNPH",2020-09-01,0,160,"0620-0900","Benz/Klyver","N 1-3","10 miles"
"RTLO",2020-09-01,0,160,"0620-0900","Benz/Klyver","N 1-3","10 miles"
"SUSC",2020-09-01,2,160,"0620-0900","Benz/Klyver","N 1-3","10 miles"
"Scoter sp.",2020-09-01,23,160,"0620-0900","Benz/Klyver","N 1-3","10 miles"
"Shearwater sp.",2020-09-01,0,160,"0620-0900","Benz/Klyver","N 1-3","10 miles"
"Tern sp.",2020-09-01,0,160,"0620-0900","Benz/Klyver","N 1-3","10 miles"
"WODU",2020-09-01,0,160,"0620-0900","Benz/Klyver","N 1-3","10 miles"
"WWSC",2020-09-01,1,160,"0620-0900","Benz/Klyver","N 1-3","10 miles"
"ABDU",2020-09-02,0,120,"0615-0815","ZK","NE 5-10","8-10 miles"
"BLGU",2020-09-02,0,120,"0615-0815","ZK","NE 5-10","8-10 miles"
"BLKI",2020-09-02,0,120,"0615-0815","ZK","NE 5-10","8-10 miles"
"BLSC",2020-09-02,0,120,"0615-0815","ZK","NE 5-10","8-10 miles"
"BLSK",2020-09-02,0,120,"0615-0815","ZK","NE 5-10","8-10 miles"
"BOGU",2020-09-02,0,120,"0615-0815","ZK","NE 5-10","8-10 miles"
"BRAN",2020-09-02,0,120,"0615-0815","ZK","NE 5-10","8-10 miles"
"BUFF",2020-09-02,0,120,"0615-0815","ZK","NE 5-10","8-10 miles"
"Bird sp.",2020-09-02,0,120,"0615-0815","ZK","NE 5-10","8-10 miles"
"CANG",2020-09-02,0,120,"0615-0815","ZK","NE 5-10","8-10 miles"
"CATE",2020-09-02,0,120,"0615-0815","ZK","NE 5-10","8-10 miles"
"COEI",2020-09-02,38,120,"0615-0815","ZK","NE 5-10","8-10 miles"
"COGO",2020-09-02,0,120,"0615-0815","ZK","NE 5-10","8-10 miles"
"COLO",2020-09-02,5,120,"0615-0815","ZK","NE 5-10","8-10 miles"
"COMU",2020-09-02,0,120,"0615-0815","ZK","NE 5-10","8-10 miles"
"COTE",2020-09-02,0,120,"0615-0815","ZK","NE 5-10","8-10 miles"
"Cormorant sp.",2020-09-02,0,120,"0615-0815","ZK","NE 5-10","8-10 miles"
"DCCO",2020-09-02,49,120,"0615-0815","ZK","NE 5-10","8-10 miles"
"Duck sp.",2020-09-02,5,120,"0615-0815","ZK","NE 5-10","8-10 miles"
"GBHE",2020-09-02,0,120,"0615-0815","ZK","NE 5-10","8-10 miles"
"GRCO",2020-09-02,0,120,"0615-0815","ZK","NE 5-10","8-10 miles"
"GREG",2020-09-02,0,120,"0615-0815","ZK","NE 5-10","8-10 miles"
"GRSC",2020-09-02,0,120,"0615-0815","ZK","NE 5-10","8-10 miles"
"GWTE",2020-09-02,0,120,"0615-0815","ZK","NE 5-10","8-10 miles"
"HADU",2020-09-02,0,120,"0615-0815","ZK","NE 5-10","8-10 miles"
"HOGR",2020-09-02,0,120,"0615-0815","ZK","NE 5-10","8-10 miles"
"Jaeger sp.",2020-09-02,0,120,"0615-0815","ZK","NE 5-10","8-10 miles"
"LAGU",2020-09-02,1,120,"0615-0815","ZK","NE 5-10","8-10 miles"
"LTDU",2020-09-02,0,120,"0615-0815","ZK","NE 5-10","8-10 miles"
"Large alcid sp.",2020-09-02,0,120,"0615-0815","ZK","NE 5-10","8-10 miles"
"Loon sp.",2020-09-02,0,120,"0615-0815","ZK","NE 5-10","8-10 miles"
"MALL",2020-09-02,0,120,"0615-0815","ZK","NE 5-10","8-10 miles"
"MALL/ABDU",2020-09-02,0,120,"0615-0815","ZK","NE 5-10","8-10 miles"
"NOGA",2020-09-02,2,120,"0615-0815","ZK","NE 5-10","8-10 miles"
"NOPI",2020-09-02,0,120,"0615-0815","ZK","NE 5-10","8-10 miles"
"PAJA",2020-09-02,0,120,"0615-0815","ZK","NE 5-10","8-10 miles"
"POJA",2020-09-02,0,120,"0615-0815","ZK","NE 5-10","8-10 miles"
"RAZO",2020-09-02,0,120,"0615-0815","ZK","NE 5-10","8-10 miles"
"RBGU",2020-09-02,0,120,"0615-0815","ZK","NE 5-10","8-10 miles"
"RBME",2020-09-02,0,120,"0615-0815","ZK","NE 5-10","8-10 miles"
"RNGR",2020-09-02,0,120,"0615-0815","ZK","NE 5-10","8-10 miles"
"RNPH",2020-09-02,0,120,"0615-0815","ZK","NE 5-10","8-10 miles"
"RTLO",2020-09-02,0,120,"0615-0815","ZK","NE 5-10","8-10 miles"
"SUSC",2020-09-02,0,120,"0615-0815","ZK","NE 5-10","8-10 miles"
"Scoter sp.",2020-09-02,17,120,"0615-0815","ZK","NE 5-10","8-10 miles"
"Shearwater sp.",2020-09-02,2,120,"0615-0815","ZK","NE 5-10","8-10 miles"
"Tern sp.",2020-09-02,0,120,"0615-0815","ZK","NE 5-10","8-10 miles"
"WODU",2020-09-02,0,120,"0615-0815","ZK","NE 5-10","8-10 miles"
"WWSC",2020-09-02,0,120,"0615-0815","ZK","NE 5-10","8-10 miles"
"ABDU",2020-09-04,0,135,"0545-0815","SB","SSW 10","0/ Dense Fog"
"BLGU",2020-09-04,0,135,"0545-0815","SB","SSW 10","0/ Dense Fog"
"BLKI",2020-09-04,0,135,"0545-0815","SB","SSW 10","0/ Dense Fog"
"BLSC",2020-09-04,0,135,"0545-0815","SB","SSW 10","0/ Dense Fog"
"BLSK",2020-09-04,0,135,"0545-0815","SB","SSW 10","0/ Dense Fog"
"BOGU",2020-09-04,0,135,"0545-0815","SB","SSW 10","0/ Dense Fog"
"BRAN",2020-09-04,0,135,"0545-0815","SB","SSW 10","0/ Dense Fog"
"BUFF",2020-09-04,0,135,"0545-0815","SB","SSW 10","0/ Dense Fog"
"Bird sp.",2020-09-04,0,135,"0545-0815","SB","SSW 10","0/ Dense Fog"
"CANG",2020-09-04,0,135,"0545-0815","SB","SSW 10","0/ Dense Fog"
"CATE",2020-09-04,0,135,"0545-0815","SB","SSW 10","0/ Dense Fog"
"COEI",2020-09-04,0,135,"0545-0815","SB","SSW 10","0/ Dense Fog"
"COGO",2020-09-04,0,135,"0545-0815","SB","SSW 10","0/ Dense Fog"
"COLO",2020-09-04,0,135,"0545-0815","SB","SSW 10","0/ Dense Fog"
"COMU",2020-09-04,0,135,"0545-0815","SB","SSW 10","0/ Dense Fog"
"COTE",2020-09-04,0,135,"0545-0815","SB","SSW 10","0/ Dense Fog"
