"species","date","day.total","total.obs.mins","time.of.obs","principle.observer","wind.dir.speed","visibility"
"ABDU",2018-09-04,0,120,"1700-1900","E. Johnson","WNW 1-4","no data"
"BLGU",2018-09-04,0,120,"1700-1900","E. Johnson","WNW 1-4","no data"
"BLKI",2018-09-04,0,120,"1700-1900","E. Johnson","WNW 1-4","no data"
"BLSC",2018-09-04,0,120,"1700-1900","E. Johnson","WNW 1-4","no data"
"BOGU",2018-09-04,0,120,"1700-1900","E. Johnson","WNW 1-4","no data"
"BRAN",2018-09-04,0,120,"1700-1900","E. Johnson","WNW 1-4","no data"
"BUFF",2018-09-04,0,120,"1700-1900","E. Johnson","WNW 1-4","no data"
"Bird sp.",2018-09-04,0,120,"1700-1900","E. Johnson","WNW 1-4","no data"
"CANG",2018-09-04,0,120,"1700-1900","E. Johnson","WNW 1-4","no data"
"CATE",2018-09-04,0,120,"1700-1900","E. Johnson","WNW 1-4","no data"
"COEI",2018-09-04,5,120,"1700-1900","E. Johnson","WNW 1-4","no data"
"COGO",2018-09-04,0,120,"1700-1900","E. Johnson","WNW 1-4","no data"
"COLO",2018-09-04,0,120,"1700-1900","E. Johnson","WNW 1-4","no data"
"COTE",2018-09-04,0,120,"1700-1900","E. Johnson","WNW 1-4","no data"
"Cormorant sp.",2018-09-04,0,120,"1700-1900","E. Johnson","WNW 1-4","no data"
"DCCO",2018-09-04,52,120,"1700-1900","E. Johnson","WNW 1-4","no data"
"Duck sp.",2018-09-04,0,120,"1700-1900","E. Johnson","WNW 1-4","no data"
"GBHE",2018-09-04,0,120,"1700-1900","E. Johnson","WNW 1-4","no data"
"GRCO",2018-09-04,0,120,"1700-1900","E. Johnson","WNW 1-4","no data"
"GREG",2018-09-04,0,120,"1700-1900","E. Johnson","WNW 1-4","no data"
"GWTE",2018-09-04,0,120,"1700-1900","E. Johnson","WNW 1-4","no data"
"HADU",2018-09-04,0,120,"1700-1900","E. Johnson","WNW 1-4","no data"
"HOGR",2018-09-04,0,120,"1700-1900","E. Johnson","WNW 1-4","no data"
"Jaeger sp.",2018-09-04,0,120,"1700-1900","E. Johnson","WNW 1-4","no data"
"LAGU",2018-09-04,0,120,"1700-1900","E. Johnson","WNW 1-4","no data"
"LTDU",2018-09-04,0,120,"1700-1900","E. Johnson","WNW 1-4","no data"
"Large alcid sp.",2018-09-04,0,120,"1700-1900","E. Johnson","WNW 1-4","no data"
"Loon sp.",2018-09-04,0,120,"1700-1900","E. Johnson","WNW 1-4","no data"
"MALL",2018-09-04,0,120,"1700-1900","E. Johnson","WNW 1-4","no data"
"MALL/ABDU",2018-09-04,0,120,"1700-1900","E. Johnson","WNW 1-4","no data"
"NOGA",2018-09-04,0,120,"1700-1900","E. Johnson","WNW 1-4","no data"
"PAJA",2018-09-04,0,120,"1700-1900","E. Johnson","WNW 1-4","no data"
"POJA",2018-09-04,0,120,"1700-1900","E. Johnson","WNW 1-4","no data"
"RAZO",2018-09-04,0,120,"1700-1900","E. Johnson","WNW 1-4","no data"
"RBGU",2018-09-04,0,120,"1700-1900","E. Johnson","WNW 1-4","no data"
"RBME",2018-09-04,0,120,"1700-1900","E. Johnson","WNW 1-4","no data"
"RNGR",2018-09-04,0,120,"1700-1900","E. Johnson","WNW 1-4","no data"
"RTLO",2018-09-04,0,120,"1700-1900","E. Johnson","WNW 1-4","no data"
"SUSC",2018-09-04,0,120,"1700-1900","E. Johnson","WNW 1-4","no data"
"Scoter sp.",2018-09-04,0,120,"1700-1900","E. Johnson","WNW 1-4","no data"
"Tern sp.",2018-09-04,0,120,"1700-1900","E. Johnson","WNW 1-4","no data"
"WODU",2018-09-04,0,120,"1700-1900","E. Johnson","WNW 1-4","no data"
"WWSC",2018-09-04,0,120,"1700-1900","E. Johnson","WNW 1-4","no data"
