,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Running Season Totals,8/24/21,8/25/21,8/26/21,8/27/21,8/28/2021,8/29/21,8/31/21,9/1/21,9/2/21,9/3/21,9/4/21,9/5/21,9/6/21,9/7/21,9/8/21,9/9/21,9/10/21,9/11/21,9/12/21,9/13/21,9/14/21,9/15/21,9/16/21,9/17/21,9/18/21,9/19/21,9/20/21,9/21/21,9/22/21,9/23/21,9/24/21,9/26/21,9/27/21,9/28/21,9/29/21,9/30/21,10/1/21,10/2/21,10/3/21,10/4/21,10/5/21,10/6/21,10/7/21,10/8/21,10/9/21,10/10/21,10/11/21,10/12/21,10/13/21,10/14/21,10/15/21,10/16/12,10/17/21,10/18/21,10/19/21,10/20/21,10/21/21,10/22/21,10/23/21,10/24/21,10/25/21,10/26/21,10/27/21,10/28/21,10/29/21,10/30/21,10/31/21,11/1/21,11/2/21,11/3/21,11/4/21,11/5/21,11/6/21,11/7/21,11/8/21,11/9/21,11/10/21,11/11/21,11/12/21,11/13/21,11/14/21,11/15/21,11/16/21,11/17/21,11/18/21,11/19/21,11/20/21,11/21,11/22/21,11/23/21,11/24/21
HOGR,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
GRCO,33,,,,,,,,1,,6,,,,3,1,,,,,,1,,1,1,,,,,,,1,,2,,,2,,,5,,,2,2,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,2,,,,
DCCO,13267,2,110,92,256,519,603,99,163,6,184,256,462,3,71,124,18,11,29,,221,268,166,73,40,7,17,28,12,8,27,4,7,21,9,3,52,,2,132,,203,69,102,20,532,13,0,74,,93,210,387,46,153,102,56,305,49,366,623,448,2512,413,671,28,165,,1,1,,,,,,50,232,340,115,88,626,,,15,46,,,8,10,,7,
CO sp.,1969,,,,,,,,,,,,,,,,,,,,11,212,150,347,244,3,136,88,73,5,15,13,36,11,153,256,199,,,,,,2,,,,,,,,,,5,7,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOGA,7922,17,48,74,49,57,106,221,156,49,98,128,99,7,71,53,2,1,8,,24,48,64,57,10,4,68,40,63,154,79,141,86,165,173,89,21,,107,60,,27,10,56,57,32,177,28,36,,15,113,"1,190","1,748",333,120,63,96,163,53,31,28,94,35,28,46,75,,67,27,,,,,17,27,15,14,6,32,8,40,87,59,14,57,97,4,49,,17,
GBHE,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREG,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CANG,72,,,,,12,,,,,,16,,,,,,,,,11,6,,,,,14,,,,,,,,,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,
BRAN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WODU,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MALL,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,
ABDU,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,17,,4,13,,,
MALL/ABDU,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GWTE,15,,,,,,,,,,,,1,,,,,,6,,1,,,1,,,,,,,,,,,,,4,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,
COEI,6295,,63,11,8,34,97,13,36,19,10,1,50,,3,11,26,,34,,55,64,123,129,84,,36,53,62,31,33,41,30,114,65,361,306,,60,120,,50,84,84,15,32,97,85,81,,74,324,33,53,236,79,72,281,210,48,69,551,134,338,61,82,29,,33,18,,,,,22,3,3,21,3,317,33,,14,26,28,305,61,23,88,,10,
HADU,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,,,,,,,,,,,,
LTDU,828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,2,1,,,1,,1,1,5,11,7,,,4,3,,,8,,,,,8,,3,2,,9,10,6,20,10,29,625,49,11,97,,7,
SUSC,908,,,,1,,,,1,,,4,2,,,,1,2,68,,,14,10,17,6,,4,2,24,1,3,,,9,20,13,16,,19,7,,45,61,3,,,6,,16,,8,15,29,18,2,14,12,94,30,4,9,39,24,,12,,1,,2,2,,,,,,,,,,34,4,,3,,8,89,78,2,51,,3,
BLSC,766,,,1,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,3,,,,,,8,,6,,2,1,24,,,23,55,40,3,8,52,36,7,15,32,76,107,20,19,5,3,,10,9,,,,,4,,1,4,1,33,1,1,2,2,,74,72,3,26,,1,
WWSC,364,,,2,,,,,,,,5,,,,2,,,6,,4,6,3,1,2,,,5,1,,,2,6,6,5,,7,,,1,,1,5,1,1,,,6,9,,,4,15,,15,11,30,31,3,,7,19,48,6,2,,,,,6,,,,,,,,3,,,,,,2,6,43,22,4,38,,,
SC sp.,1249,,,5,6,,2,,,,,,1,,,,2,,3,,3,17,7,,,,1,7,3,3,,,,5,6,38,39,,,,,18,34,2,,4,16,30,2,,8,22,55,19,,6,69,58,6,,17,65,186,379,23,,,,2,1,,,,,7,,,,,8,,,7,,3,5,48,1,46,,9,
COGO,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUFF,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRSC,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMWI,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,9,,,,,,
Scaup sp.,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,7,,,
RBME,467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,2,3,,9,2,,5,7,4,,2,,,10,,3,,5,8,23,3,,5,18,109,19,2,3,,,2,1,,,,,,,8,8,,17,22,2,1,1,9,101,43,2,162,,,
NOPI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Duck sp.,1407,,2,5,1,2,,,,,,2,7,,,,,,3,,15,4,12,10,4,,,3,13,,,,,,5,9,4,,2,2,,23,5,10,16,2,3,1,7,,,8,3,3,,,135,,,,,22,77,16,30,,30,,2,,,,,,,,,,2,737,24,,2,3,19,28,87,7,20,,8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAJA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POJA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaeger sp.,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOGU,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,4,,1,,,,,,
LAGU,29,2,,,3,3,4,4,3,,4,,1,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBGU,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,11,,,,
BLKI,9,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,1,,,,
CATE,6,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COTE,20,,,11,2,,1,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tern sp.,10,,,,,,,,,,,1,,,,1,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAZO,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,,,5,,1,
Large alcid sp.,28,,,19,1,,,,2,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
