Date,Species Totals,9/11/17,9/12/17,9/13/17,9/14/17,9/15/17,9/16/17,9/17/17,9/18/17,9/19/17,9/20/17,9/21/17,9/22/17,9/23/17,9/24/17,9/25/17,9/26/17,9/27/17,9/28/17,9/29/17,9/30/17,10/1/17,10/2/17,10/3/17,10/4/17,10/5/17,10/6/17,10/7/17,10/8/17,10/9/17,10/10/17,10/11/17,10/12/17,10/13/17,10/14/17,10/15/17,10/16/17,10/17/17,10/18/17,10/19/17,10/20/17,10/21/17,10/22/17,10/23/17,10/24/17,10/25/17,10/26/17,10/27/17,10/28/17,10/29/17,10/30/17,10/31/17,11/1/17,11/2/17,11/3/17,11/4/17,11/5/17,11/6/17,11/7/17,11/8/17,11/9/17,11/10/17,11/11/17,11/12/17,11/14/17,11/15/17,11/16/17,11/17/17
Minutes of Observation,16050,300,130,60,110,330,240,60,240,,345,270,315,180,300,300,,120,300,300,300,300,300,195,300,300,300,300,300,180,250,300,300,315,300,105,315,270,315,300,315,300,300,120,225,120,90,300,330,300,60,330,300,,285,300,300,180,135,300,300,300,300,300,155,300,180,180
Time(s) of Observation,,"6:30-9:30, 3:30-5:30",6:20-7:30; 9:00-10:00,6:27-7:27,6:15 - 8:00,6;15-10:15; 4-5:30,6:15-7:45; 4-6,6:10-7:10,6-7:45;4-6:15,,6-9:30;4-6:15,"615-945,415-615","615-930,415-615",615-915,"615-915, 415-615",6:15-9:15;4:15-6:15,,6:15-7:15; 4:15-5:15,6:15-9:15;4:15-6:15,630-930;400-600,630-930;4-6,630-930;4-6,630-930;4-6,615-930,630-930;4-6,630-930;4-6,"""","""",630-930;4-6,630-830;4-5,630-940;5-6,"645-945,345-545","""",645-945;345-6,645-945;345-545,645-830; fog,645-945;345-6,630-930;330-6,645-945;345-6,645-945;345-545,645-945;345-6,645-945;345-545,7-10;330-530,FOG;330-530,645-930;4-5,330-530,7-8;330-4,7-10;330-530,7-10;3-530,7-10;330-530,,7-10;330-6,7-10;330-530,,7-10;315-5,7-10;315-515,615-915;215-415,615-715;215-415,645-9,615-915;215-415,615-915;215-415,615-915;215-415,615-915;215-415,615-915;2-4,625-9,630-930;2-4,600-900,600-900
Principle Observer,,Andrew Wolfgang,Seth Benz,STB,AS,AS,AS,AS,AS,,AS,AS,AS/SB,AS,AS,AS,,AS,AS,AS,AS,AS,AS,SB,AS,AS,AS,AS,AS,AS,SB,AS,AS,AS,AS,AS,AS,SB,AS,AS,AS,AS,AS,AS,SB,AS,AS,AS,AS,AS,,AS,AS,,AS,AS,AS,AS,SB,AS,AS,AS,AS,AS,SB,AS,AS,AS
General Wind Dir/Velocity,,NW-10; NW -6,Var 0-2 (Check this),SSW 1-3,No Data,"""Mild""","""Calm""",Calm 1-3,VAR 1-3,,W 5-10; W-13,S-4-10; 7-15,S 5-6,FOG,W-SW 4-7,Var 1-3,,FOG,Var 1-3; NW 15-20,No Wind Dir. 1-3,No Wind Dir 1-3,NWD 1-3;3-6,No Data,NW 0-3,SW 4-6,W 7,Calm 1-3,Calm 1-3,Windy 12-15,? 1-3,WNW 0-5,Calm 1-3,no data,? 1-3,? 4-7,Var 1-3,Var 1-3,"S 1-3, WSW 3-8",? 12-15,?,?,"?  ""calm 1-3""",?,?,S 5-10; SSE 15-20,"rain, wind ","R, F; W4-7",? Big Winds,? 1-3,? 1-3,Weather,S 15-20,? 3-5,,Calm 1-3,? 5-10,E 15-20, ? 6-7,WNW 3-8,NNE 3,NNE 1-5,W - WNW,WNW 12-20,SSE 1-3,N 3-12,NNE 5-9,SSW 2-4,WNW 15-18
RTLO,127,,,,,1,,1,,,,,,,1,,,,,,1,,2,1,,,,,,,,2,1,2,1,1,3,5,18,1,3,5,3,2,7,,,,4,3,,1,3,,8,2,4,,13,5,6,,2,5,8,1,1,
Loon sp.,77,,,,8,2,,,,,,,,,,,,,,,1,7,1,,,1,2,2,1,,,1,6,2,2,,5,,5,,1,1,5,,,,,,6,4,,,8,,,,3,,,,2,,,,1,,,
LTDU,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,,4,,,,,,7,10,1,20,,,,5,13,,,28,,1,10,21,2,9,2,,,3,51,11,2,1,
WWSC,202,1,,2,,,,,,,1,1,,,,4,,,4,,,,30,1,,,5,6,2,,9,7,7,4,,4,16,7,11,7,,1,3,,3,,,,6,3,,13,5,,,10,5,,2,,4,1,2,2,1,2,6,4
GRCO,161,,,,,,,,,,,,,,,1,,,,,2,,,,6,3,2,2,2,,2,7,13,,11,6,6,5,15,4,4,4,8,1,,,3,3,9,5,,,5,,12,3,,1,,4,,2,4,5,1,,,
BLSC,1536,3,,,,,,,,,6,,1,,7,,,,,,9,27,27,4,2,9,1,15,196,,11,44,46,30,19,8,,4,56,,4,,8,,23,,,16,,16,,488,47,,24,9,40,8,43,56,42,15,23,60,6,55,20,8
SUSC,1243,5,9,14,18,36,7,,,,9,38,20,22,43,54,,,4,32,76,18,87,224,8,11,41,55,19,2,2,41,26,38,63,1,3,20,13,17,,14,15,39,35,,,,17,22,,4,8,,,,,3,6,,,,,3,1,,,
Scoter sp.,1384,3,6,2,5,20,1,,,,,4,11,,17,,,,1,1,64,30,32,59,2,,42,101,5,,10,81,33,61,2,,14,29,31,68,8,20,60,30,,,,1,133,31,,220,32,,36,11,24,,6,4,,,,17,15,,,1
COTE,14,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATE,8,,,,,,1,,,,,,,,,,,,,,,,,5,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RNGR,38,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,2,,,,5,2,,3,,,,,,,1,,,,,,2,,,,,1,5,,3,2,,,1,
RBME,340,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,4,,,,,2,5,54,6,27,16,2,1,,1,,11,118,,1,10,,,12,20,,,1,4,3,2,11,9,1,6,1
MERL,,,4,4,2,1,,,,,,,2,,1,,,,1,,1,,1,,,,,1,1,,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAGU,4,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOGU,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLKI,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,1,,3,,,3,,,
Jaeger sp.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOHA,,,,,,,,,,,,2,,,,,,,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cormorant sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEFA,,,,,,,,,,,,,1,,,,,,,,1,,,3,,1,,1,,,,2,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSPR,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falcon sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLGU,25,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,,,,,1,,1,,,,,2,,,,,,1,,2,4,,,3,1
YRWA,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTHU,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMPI,,,,,,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHIM,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SESA,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tern sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GWTE,4,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Large alcid sp.,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAWO,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAEA,,,,,,,,,,,,1,,,,,,,1,,,,,,1,,,,,,1,,1,1,,,,,,,,,1,,2,,,,1,,,,,,1,2,2,,1,,,1,,,,,,
GBHE,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,
SAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,3
PAWA,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORA,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,
RAZO,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,2,2,3,,,
BBPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABDU,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,3,,,2,,,,,,,5,,,,6,,3,,8
RBGU,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,
SNBU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,4,,,,,1,,,,
AMGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,,38,,,,19,18,,
GRCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
HADU,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,7,
PUSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,22,,,
WRSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Season Totals,34058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
